#{"t_start": 1754452514.5959535, "env_id": "None"}
r,l,t
-72.82096,48,2.399023
-69.11271,52,2.414644
-70.78044,53,2.414644
-74.38949,53,2.414644
-75.24815,50,2.555236
-75.39618,46,2.555236
-78.41743,46,2.555236
-70.620476,58,2.586479
-90.14625,46,2.680207
-78.73866,49,2.695828
-74.72931,50,2.695828
-78.77491,46,2.727072
-73.392075,53,2.855977
-66.382416,60,2.855977
-78.76938,60,2.871598
-69.207184,51,2.871598
-69.16418,51,3.012191
-68.286865,50,3.012191
-88.63372,64,3.059055
-75.80802,69,3.074675
-77.30232,45,3.137162
-100.493935,58,3.186073
-80.234535,62,3.232941
-82.40842,74,3.280561
-75.36974,56,3.296183
-69.54562,46,3.296183
-77.72223,53,3.37291
-72.62451,46,3.404153
-76.51103,44,3.404153
-78.50332,51,3.435396
-75.91691,46,3.529124
-64.826195,63,3.544745
-71.11253,55,3.544745
-52.234745,52,3.575989
-78.11077,51,3.665695
-77.23215,53,3.685352
-69.59664,51,3.698554
-83.79975,65,3.719241
-77.094574,47,3.788284
-73.20213,55,3.831103
-67.86558,48,3.839257
-77.52665,64,3.880175
-71.142006,49,3.919067
-77.519516,56,3.977179
-76.45905,48,3.998143
-78.93113,71,4.024598
-66.80501,49,4.024598
-72.62547,47,4.087086
-75.07954,53,4.11833
-75.696915,50,4.151284
-71.52755,51,4.166238
-71.883415,54,4.225106
-64.73958,49,4.240727
-76.67198,51,4.271971
-78.63196,63,4.318834
-77.7131,49,4.373879
-72.08757,62,4.373879
-45.549984,67,4.436364
-70.0645,55,4.451988
-67.80881,45,4.483228
-77.57701,50,4.498849
-82.59059,55,4.605284
-76.17243,50,4.620906
101.813576,72,4.636527
-77.4019,60,4.667769
-69.88782,49,4.730254
-70.94135,47,4.761497
-102.90836,56,4.761497
-83.10408,58,4.808361
-86.00267,52,4.872291
-70.482346,53,4.898391
-69.6019,52,4.898391
-74.40737,48,4.929635
-77.044785,44,4.994081
-73.51585,47,5.009704
-69.84177,67,5.025324
-64.708786,52,5.056566
-70.770294,48,5.10343
-80.39192,50,5.134673
-82.56357,48,5.165916
-79.73616,70,5.165916
-73.71897,58,5.228401
-73.617615,52,5.264042
-71.532974,46,5.269104
-78.13493,61,5.30035
-77.40164,44,5.331592
-80.41839,50,5.362836
-66.89954,54,5.400553
-81.55035,48,5.418536
-75.22673,49,5.449781
-73.093414,55,5.496644
-77.71447,49,5.496644
-93.47463,58,5.543507
-73.685555,60,5.590371
-69.15605,51,5.605992
-83.2027,74,5.668478
-84.31825,57,5.684099
-75.36332,48,5.69972
-70.78027,50,5.730963
-72.58518,48,5.777827
-78.88452,50,5.793448
-70.75783,48,5.809069
-70.47697,46,5.840312
-83.69323,46,5.887176
-84.904175,49,5.91912
-91.77031,59,5.954715
-81.25792,54,5.958672
-76.14551,53,6.021159
-74.78944,49,6.021159
-71.20389,47,6.052401
-87.497986,54,6.083643
-76.572914,43,6.114886
-75.056465,45,6.130507
-87.1859,43,6.146128
-70.73793,48,6.192991
-75.01649,49,6.224235
-68.04948,49,6.271099
-85.90846,72,6.302343
-78.47836,45,6.317964
-72.85236,46,6.349205
-80.916214,50,6.403818
-77.27038,52,6.463941
-73.57282,49,6.463941
-78.69786,46,6.494614
-75.56334,52,6.572721
-66.30218,49,6.603964
-75.14805,54,6.619586
-82.99851,47,6.619586
-72.71342,49,6.713313
-78.62479,50,6.748783
-76.239655,50,6.764408
-90.11048,58,6.795651
-71.83148,54,6.889953
-75.49249,51,6.920228
-72.356316,44,6.93585
-64.930695,68,6.95147
-75.75272,50,7.025925
-72.430115,51,7.060158
-78.61149,51,7.07578
-81.391205,53,7.091401
-67.988785,47,7.138265
-72.34047,48,7.185129
-71.84849,52,7.216373
-74.363266,59,7.247616
-94.29674,54,7.29914
-65.32406,57,7.350816
-78.7543,48,7.350816
-94.04571,55,7.406684
-91.98078,54,7.422306
-72.24612,48,7.453548
-62.180668,51,7.469169
-87.245224,45,7.516833
-72.204994,57,7.570345
-94.05981,52,7.585967
-79.17227,57,14.592727
-82.32337,67,14.670834
-75.54431,50,14.686455
-80.94025,43,14.686455
-72.90997,47,14.733319
-76.92245,54,14.827048
-67.9773,46,14.827048
-72.010735,52,14.842669
-51.527897,58,14.889533
-67.96338,49,14.963092
-69.4806,55,14.981041
-79.17123,58,14.99666
-65.008545,48,15.012282
-78.58851,45,15.090389
-66.02368,45,15.10601
-73.433624,60,15.121631
-87.37934,57,15.168497
-66.96956,51,15.215359
-73.34248,54,15.309088
-52.622692,84,15.34033
-71.69946,45,15.34033
-70.35589,52,15.434057
-76.81653,47,15.44968
-66.70654,51,15.466086
-77.261185,54,15.563652
-82.58747,47,15.563652
-62.816254,55,15.579272
-73.704216,54,15.688621
-74.80634,56,15.704242
-63.60849,53,15.719865
-77.174736,48,15.813593
-73.55409,52,15.829213
-74.60681,62,15.860456
-77.20597,50,15.922943
-48.395058,49,15.938563
-74.853386,51,15.969805
-74.39414,49,16.041303
-91.93307,48,16.056924
-87.98167,55,16.103788
-72.60031,52,16.170286
-78.1524,47,16.170286
-73.43853,52,16.232771
-67.09089,44,16.264014
-71.49569,45,16.283934
-66.98983,47,16.353627
-80.0402,56,16.400489
-76.39565,74,16.447354
-69.92363,50,16.462974
-82.75948,68,16.577076
-74.24678,51,16.592696
-86.53187,56,16.608318
-85.71879,47,16.702046
-77.112885,54,16.702046
-81.1647,45,16.717679
-74.81381,47,16.811396
-76.637344,56,16.842638
-65.25449,58,16.858259
-80.48583,54,16.936366
-84.564735,49,16.951988
-47.488873,62,17.014472
-101.15794,54,17.077823
-71.497284,52,17.092651
-72.476814,50,17.132851
-71.2359,48,17.195337
-96.41039,62,17.226579
-79.154724,53,17.257822
-68.277885,58,17.347398
-72.57932,58,17.363021
-70.670555,45,17.363021
-63.123306,49,17.464711
-66.045135,50,17.481713
-65.29424,53,17.500438
13.901456,1000,17.542889
-71.72342,47,17.57762
-82.0273,48,17.602503
-67.02035,48,17.613473
-90.42834,51,17.661916
-69.04762,55,17.70978
-84.48739,53,17.729073
-77.27415,59,17.755639
-76.1334,46,17.775795
-73.110176,48,17.825789
-72.00282,58,17.869712
-66.94739,48,17.87267
-73.81968,53,17.904758
-72.54362,60,17.972666
-72.153114,45,17.982742
-94.44638,56,18.006557
-70.668175,50,18.025685
-75.31119,46,18.092698
-73.22968,55,18.103971
-79.2546,47,18.118684
-87.19937,57,18.161849
-78.537796,48,18.193092
-94.34494,52,18.224335
-77.00814,50,18.224335
-60.441246,65,18.302441
-71.59183,46,18.318062
-74.955505,50,18.349305
-80.65893,79,18.380548
-71.59526,48,18.443034
-76.21348,58,18.443034
-69.38974,49,18.458655
-82.08595,52,18.521141
-86.3847,60,18.606761
-86.862816,57,18.622383
-76.44364,70,18.635697
-74.2129,47,18.642764
-96.14943,51,18.748828
-70.82773,51,18.802241
-91.52385,63,18.814208
-73.12776,48,18.915771
-75.57388,90,18.915771
-75.8311,48,18.962636
-71.08341,57,18.993879
-75.37764,47,19.06504
-77.72729,52,19.080661
-73.98481,60,19.175219
-76.41916,72,19.175219
-81.61363,49,19.207188
-68.78729,49,19.221864
-71.46133,52,19.329351
-69.36601,53,19.33334
-64.56521,54,19.373433
-86.77382,65,19.396229
-66.59803,48,19.463415
-63.098312,51,19.479037
-77.49363,46,19.525902
-63.542404,52,19.525902
-74.31176,53,19.604008
-73.83249,54,19.619629
-69.40977,48,19.650872
-84.3763,52,19.650872
-70.85878,47,19.722281
-68.23548,47,19.722281
-70.479744,47,19.769145
-78.59477,53,19.784766
